,Country,Year,divorce_rate,Continent
0,Australia,1970,0.9753,Oceania
1,Australia,1980,2.7,Oceania
2,Australia,1981,2.8,Oceania
3,Australia,1982,2.9,Oceania
4,Australia,1983,2.8,Oceania
5,Australia,1984,2.8,Oceania
6,Australia,1985,2.5,Oceania
7,Australia,1986,2.5,Oceania
8,Australia,1987,2.4,Oceania
9,Australia,1988,2.5,Oceania
10,Australia,1989,2.5,Oceania
11,Australia,1990,2.5,Oceania
12,Australia,1991,2.6,Oceania
13,Australia,1992,2.6,Oceania
14,Australia,1993,2.7,Oceania
15,Australia,1994,2.7,Oceania
16,Australia,1995,2.8,Oceania
17,Australia,1996,2.9,Oceania
18,Australia,1997,2.8,Oceania
19,Australia,1998,2.7,Oceania
20,Australia,1999,2.8,Oceania
21,Australia,2000,2.6,Oceania
22,Australia,2001,2.8,Oceania
23,Australia,2002,2.7,Oceania
24,Australia,2003,2.7,Oceania
25,Australia,2004,2.6,Oceania
26,Australia,2005,2.6,Oceania
27,Australia,2006,2.5,Oceania
28,Australia,2007,2.3,Oceania
29,Australia,2008,2.2,Oceania
30,Australia,2009,2.3,Oceania
31,Australia,2010,2.3,Oceania
32,Australia,2011,2.2,Oceania
33,Australia,2012,2.2,Oceania
34,Australia,2013,2.1,Oceania
35,Australia,2014,2.0,Oceania
36,Australia,2015,2.0,Oceania
37,Australia,2016,1.931599157613211,Oceania
38,Australia,2017,2.0,Oceania
39,Austria,1960,1.1,Europe
40,Austria,1961,1.1,Europe
41,Austria,1962,1.1,Europe
42,Austria,1963,1.1,Europe
43,Austria,1964,1.2,Europe
44,Austria,1965,1.2,Europe
45,Austria,1966,1.2,Europe
46,Austria,1967,1.2,Europe
47,Austria,1968,1.3,Europe
48,Austria,1969,1.3,Europe
49,Austria,1970,1.4,Europe
50,Austria,1971,1.3,Europe
51,Austria,1972,1.3,Europe
52,Austria,1973,1.3,Europe
53,Austria,1974,1.4,Europe
54,Austria,1975,1.4,Europe
55,Austria,1976,1.5,Europe
56,Austria,1977,1.5,Europe
57,Austria,1978,1.6,Europe
58,Austria,1979,1.7,Europe
59,Austria,1980,1.8,Europe
60,Austria,1981,1.8,Europe
61,Austria,1982,1.9,Europe
62,Austria,1983,1.9,Europe
63,Austria,1984,2.0,Europe
64,Austria,1985,2.0,Europe
65,Austria,1986,1.9,Europe
66,Austria,1987,1.9,Europe
67,Austria,1988,2.0,Europe
68,Austria,1989,2.0,Europe
69,Austria,1990,2.1,Europe
70,Austria,1991,2.1,Europe
71,Austria,1992,2.1,Europe
72,Austria,1993,2.1,Europe
73,Austria,1994,2.1,Europe
74,Austria,1995,2.3,Europe
75,Austria,1996,2.3,Europe
76,Austria,1997,2.3,Europe
77,Austria,1998,2.2,Europe
78,Austria,1999,2.3,Europe
79,Austria,2000,2.4,Europe
80,Austria,2001,2.6,Europe
81,Austria,2002,2.5,Europe
82,Austria,2003,2.3,Europe
83,Austria,2004,2.4,Europe
84,Austria,2005,2.4,Europe
85,Austria,2006,2.5,Europe
86,Austria,2007,2.5,Europe
87,Austria,2008,2.4,Europe
88,Austria,2009,2.3,Europe
89,Austria,2010,2.1,Europe
90,Austria,2011,2.1,Europe
91,Austria,2012,2.0,Europe
92,Austria,2013,1.9,Europe
93,Austria,2014,1.9,Europe
94,Austria,2015,1.9,Europe
95,Austria,2016,1.8,Europe
96,Austria,2017,1.8,Europe
97,Belgium,1960,0.5,Europe
98,Belgium,1961,0.5,Europe
99,Belgium,1962,0.5,Europe
100,Belgium,1963,0.6,Europe
101,Belgium,1964,0.6,Europe
102,Belgium,1965,0.6,Europe
103,Belgium,1966,0.6,Europe
104,Belgium,1967,0.6,Europe
105,Belgium,1968,0.6,Europe
106,Belgium,1969,0.7,Europe
107,Belgium,1970,0.7,Europe
108,Belgium,1971,0.7,Europe
109,Belgium,1972,0.8,Europe
110,Belgium,1973,0.9,Europe
111,Belgium,1974,1.0,Europe
112,Belgium,1975,1.1,Europe
113,Belgium,1976,1.3,Europe
114,Belgium,1977,1.3,Europe
115,Belgium,1978,1.4,Europe
116,Belgium,1979,1.4,Europe
117,Belgium,1980,1.5,Europe
118,Belgium,1981,1.6,Europe
119,Belgium,1982,1.6,Europe
120,Belgium,1983,1.7,Europe
121,Belgium,1984,1.9,Europe
122,Belgium,1985,1.9,Europe
123,Belgium,1986,1.9,Europe
124,Belgium,1987,2.0,Europe
125,Belgium,1988,2.1,Europe
126,Belgium,1989,2.0,Europe
127,Belgium,1990,2.0,Europe
128,Belgium,1991,2.1,Europe
129,Belgium,1992,2.2,Europe
130,Belgium,1993,2.1,Europe
131,Belgium,1994,2.2,Europe
132,Belgium,1995,3.5,Europe
133,Belgium,1996,2.8,Europe
134,Belgium,1997,2.6,Europe
135,Belgium,1998,2.6,Europe
136,Belgium,1999,2.6,Europe
137,Belgium,2000,2.6,Europe
138,Belgium,2001,2.8,Europe
139,Belgium,2002,3.0,Europe
140,Belgium,2003,3.0,Europe
141,Belgium,2004,3.0,Europe
142,Belgium,2005,2.9,Europe
143,Belgium,2006,2.8,Europe
144,Belgium,2007,2.8,Europe
145,Belgium,2008,3.3,Europe
146,Belgium,2009,3.0,Europe
147,Belgium,2010,2.7,Europe
148,Belgium,2011,2.5,Europe
149,Belgium,2012,2.3,Europe
150,Belgium,2013,2.2,Europe
151,Belgium,2014,2.2,Europe
152,Belgium,2015,2.2,Europe
153,Belgium,2016,2.1,Europe
154,Belgium,2017,2.0,Europe
155,Canada,1970,1.3729,North America
156,Canada,1980,2.53,North America
157,Canada,1981,2.73,North America
158,Canada,1982,2.8,North America
159,Canada,1983,2.7,North America
160,Canada,1984,2.55,North America
161,Canada,1985,2.39,North America
162,Canada,1986,3.0,North America
163,Canada,1987,3.63,North America
164,Canada,1988,3.12,North America
165,Canada,1989,2.97,North America
166,Canada,1990,2.83,North America
167,Canada,1991,2.75,North America
168,Canada,1992,2.79,North America
169,Canada,1993,2.73,North America
170,Canada,1994,2.72,North America
171,Canada,1995,2.65,North America
172,Canada,1996,2.41,North America
173,Canada,1997,2.25,North America
174,Canada,1998,2.28,North America
175,Canada,1999,2.33,North America
176,Canada,2000,2.32,North America
177,Canada,2001,2.29,North America
178,Canada,2002,2.2399999999999998,North America
179,Canada,2003,2.2399999999999998,North America
180,Canada,2004,2.18,North America
181,Canada,2005,2.21,North America
182,Canada,2006,2.29,North America
183,Canada,2007,2.2199999999999998,North America
184,Canada,2008,2.1100000000000003,North America
185,Chile,1995,0.45,South America
186,Chile,1996,0.43,South America
187,Chile,1997,0.43,South America
188,Chile,1998,0.43,South America
189,Chile,1999,0.42,South America
190,Chile,2006,0.2489552218,South America
191,Chile,2007,0.145559057,South America
192,Chile,2008,0.1200825366,South America
193,Chile,2009,0.1221581614,South America
194,Chile,2010,0.0911416249,South America
195,Czech Republic,1960,1.4,Europe
196,Czech Republic,1961,1.5,Europe
197,Czech Republic,1962,1.5,Europe
198,Czech Republic,1963,1.5,Europe
199,Czech Republic,1964,1.5,Europe
200,Czech Republic,1965,1.7,Europe
201,Czech Republic,1966,1.8,Europe
202,Czech Republic,1967,1.8,Europe
203,Czech Republic,1968,1.9,Europe
204,Czech Republic,1969,2.1,Europe
205,Czech Republic,1970,2.2,Europe
206,Czech Republic,1971,2.4,Europe
207,Czech Republic,1972,2.3,Europe
208,Czech Republic,1973,2.5,Europe
209,Czech Republic,1974,2.5,Europe
210,Czech Republic,1975,2.6,Europe
211,Czech Republic,1976,2.5,Europe
212,Czech Republic,1977,2.5,Europe
213,Czech Republic,1978,2.6,Europe
214,Czech Republic,1979,2.5,Europe
215,Czech Republic,1980,2.6,Europe
216,Czech Republic,1981,2.7,Europe
217,Czech Republic,1982,2.7,Europe
218,Czech Republic,1983,2.8,Europe
219,Czech Republic,1984,3.0,Europe
220,Czech Republic,1985,2.9,Europe
221,Czech Republic,1986,2.9,Europe
222,Czech Republic,1987,3.0,Europe
223,Czech Republic,1988,3.0,Europe
224,Czech Republic,1989,3.0,Europe
225,Czech Republic,1990,3.1,Europe
226,Czech Republic,1991,2.8,Europe
227,Czech Republic,1992,2.8,Europe
228,Czech Republic,1993,2.9,Europe
229,Czech Republic,1994,3.0,Europe
230,Czech Republic,1995,3.0,Europe
231,Czech Republic,1996,3.2,Europe
232,Czech Republic,1997,3.2,Europe
233,Czech Republic,1998,3.1,Europe
234,Czech Republic,1999,2.3,Europe
235,Czech Republic,2000,2.9,Europe
236,Czech Republic,2001,3.1,Europe
237,Czech Republic,2002,3.1,Europe
238,Czech Republic,2003,3.8,Europe
239,Czech Republic,2004,3.2,Europe
240,Czech Republic,2005,3.1,Europe
241,Czech Republic,2006,3.1,Europe
242,Czech Republic,2007,3.0,Europe
243,Czech Republic,2008,3.0,Europe
244,Czech Republic,2009,2.8,Europe
245,Czech Republic,2010,2.9,Europe
246,Czech Republic,2011,2.7,Europe
247,Czech Republic,2012,2.5,Europe
248,Czech Republic,2013,2.7,Europe
249,Czech Republic,2014,2.5,Europe
250,Czech Republic,2015,2.5,Europe
251,Czech Republic,2016,2.4,Europe
252,Czech Republic,2017,2.4,Europe
253,Denmark,1960,1.5,Europe
254,Denmark,1961,1.4,Europe
255,Denmark,1962,1.4,Europe
256,Denmark,1963,1.4,Europe
257,Denmark,1964,1.4,Europe
258,Denmark,1965,1.4,Europe
259,Denmark,1966,1.4,Europe
260,Denmark,1967,1.4,Europe
261,Denmark,1968,1.6,Europe
262,Denmark,1969,1.8,Europe
263,Denmark,1970,1.9,Europe
264,Denmark,1971,2.7,Europe
265,Denmark,1972,2.6,Europe
266,Denmark,1973,2.5,Europe
267,Denmark,1974,2.6,Europe
268,Denmark,1975,2.6,Europe
269,Denmark,1976,2.6,Europe
270,Denmark,1977,2.6,Europe
271,Denmark,1978,2.6,Europe
272,Denmark,1979,2.5,Europe
273,Denmark,1980,2.7,Europe
274,Denmark,1981,2.8,Europe
275,Denmark,1982,2.9,Europe
276,Denmark,1983,2.9,Europe
277,Denmark,1984,2.8,Europe
278,Denmark,1985,2.8,Europe
279,Denmark,1986,2.8,Europe
280,Denmark,1987,2.8,Europe
281,Denmark,1988,2.9,Europe
282,Denmark,1989,3.0,Europe
283,Denmark,1990,2.7,Europe
284,Denmark,1991,2.5,Europe
285,Denmark,1992,2.5,Europe
286,Denmark,1993,2.5,Europe
287,Denmark,1994,2.6,Europe
288,Denmark,1995,2.5,Europe
289,Denmark,1996,2.4,Europe
290,Denmark,1997,2.4,Europe
291,Denmark,1998,2.5,Europe
292,Denmark,1999,2.5,Europe
293,Denmark,2000,2.7,Europe
294,Denmark,2001,2.7,Europe
295,Denmark,2002,2.8,Europe
296,Denmark,2003,2.9,Europe
297,Denmark,2004,2.9,Europe
298,Denmark,2005,2.8,Europe
299,Denmark,2006,2.6,Europe
300,Denmark,2007,2.6,Europe
301,Denmark,2008,2.7,Europe
302,Denmark,2009,2.7,Europe
303,Denmark,2010,2.6,Europe
304,Denmark,2011,2.6,Europe
305,Denmark,2012,2.8,Europe
306,Denmark,2013,3.4,Europe
307,Denmark,2014,3.4,Europe
308,Denmark,2015,2.9,Europe
309,Denmark,2016,3.0,Europe
310,Denmark,2017,2.6,Europe
311,Estonia,1960,2.1,Europe
312,Estonia,1961,2.1,Europe
313,Estonia,1962,2.0,Europe
314,Estonia,1963,2.2,Europe
315,Estonia,1964,2.5,Europe
316,Estonia,1965,2.3,Europe
317,Estonia,1966,3.2,Europe
318,Estonia,1967,3.2,Europe
319,Estonia,1968,3.1,Europe
320,Estonia,1969,3.3,Europe
321,Estonia,1970,3.2,Europe
322,Estonia,1971,3.2,Europe
323,Estonia,1972,3.3,Europe
324,Estonia,1973,3.2,Europe
325,Estonia,1974,3.3,Europe
326,Estonia,1975,3.4,Europe
327,Estonia,1976,3.6,Europe
328,Estonia,1977,3.9,Europe
329,Estonia,1978,3.8,Europe
330,Estonia,1979,4.1,Europe
331,Estonia,1980,4.1,Europe
332,Estonia,1981,4.1,Europe
333,Estonia,1982,3.9,Europe
334,Estonia,1983,4.2,Europe
335,Estonia,1984,4.1,Europe
336,Estonia,1985,4.0,Europe
337,Estonia,1986,3.9,Europe
338,Estonia,1987,3.9,Europe
339,Estonia,1988,3.8,Europe
340,Estonia,1989,3.8,Europe
341,Estonia,1990,3.7,Europe
342,Estonia,1991,3.7,Europe
343,Estonia,1992,4.3,Europe
344,Estonia,1993,3.9,Europe
345,Estonia,1994,3.8,Europe
346,Estonia,1995,5.2,Europe
347,Estonia,1996,4.0,Europe
348,Estonia,1997,3.8,Europe
349,Estonia,1998,3.2,Europe
350,Estonia,1999,3.3,Europe
351,Estonia,2000,3.0,Europe
352,Estonia,2001,3.1,Europe
353,Estonia,2002,3.0,Europe
354,Estonia,2003,2.9,Europe
355,Estonia,2004,3.1,Europe
356,Estonia,2005,3.0,Europe
357,Estonia,2006,2.8,Europe
358,Estonia,2007,2.8,Europe
359,Estonia,2008,2.6,Europe
360,Estonia,2009,2.4,Europe
361,Estonia,2010,2.2,Europe
362,Estonia,2011,2.3,Europe
363,Estonia,2012,2.4,Europe
364,Estonia,2013,2.5,Europe
365,Estonia,2014,2.4,Europe
366,Estonia,2015,2.6,Europe
367,Estonia,2016,2.5,Europe
368,Estonia,2017,2.5,Europe
369,Finland,1960,0.8,Europe
370,Finland,1961,0.9,Europe
371,Finland,1962,0.9,Europe
372,Finland,1963,0.9,Europe
373,Finland,1964,1.0,Europe
374,Finland,1965,1.0,Europe
375,Finland,1966,1.1,Europe
376,Finland,1967,1.1,Europe
377,Finland,1968,1.2,Europe
378,Finland,1969,1.3,Europe
379,Finland,1970,1.3,Europe
380,Finland,1971,1.6,Europe
381,Finland,1972,1.8,Europe
382,Finland,1973,1.9,Europe
383,Finland,1974,2.1,Europe
384,Finland,1975,2.0,Europe
385,Finland,1976,2.1,Europe
386,Finland,1977,2.1,Europe
387,Finland,1978,2.2,Europe
388,Finland,1979,2.1,Europe
389,Finland,1980,2.0,Europe
390,Finland,1981,2.0,Europe
391,Finland,1982,2.0,Europe
392,Finland,1983,2.0,Europe
393,Finland,1984,2.0,Europe
394,Finland,1985,1.8,Europe
