,Country,Year,male_mean_age,female_mean_age,couple_mean_age,Continent
0,Australia,1990,26.5,24.3,25.4,Oceania
1,Australia,1991,26.7,24.5,25.6,Oceania
2,Australia,1992,26.9,24.7,25.799999999999997,Oceania
3,Australia,1993,27.0,24.8,25.9,Oceania
4,Australia,1994,27.2,25.1,26.15,Oceania
5,Australia,1995,27.3,25.3,26.3,Oceania
6,Australia,1996,27.6,25.7,26.65,Oceania
7,Australia,1997,27.8,25.9,26.85,Oceania
8,Australia,1998,27.9,26.2,27.049999999999997,Oceania
9,Australia,1999,28.2,26.4,27.299999999999997,Oceania
10,Australia,2000,28.5,26.7,27.6,Oceania
11,Australia,2001,28.7,26.9,27.799999999999997,Oceania
12,Australia,2002,29.0,27.1,28.05,Oceania
13,Australia,2003,29.2,27.3,28.25,Oceania
14,Australia,2004,29.4,27.5,28.45,Oceania
15,Australia,2005,29.5,27.6,28.55,Oceania
16,Australia,2006,29.6,27.6,28.6,Oceania
17,Australia,2007,29.6,27.6,28.6,Oceania
18,Australia,2008,29.6,27.7,28.65,Oceania
19,Australia,2009,29.6,27.7,28.65,Oceania
20,Australia,2010,29.6,27.9,28.75,Oceania
21,Australia,2011,29.7,28.0,28.85,Oceania
22,Australia,2012,29.8,28.1,28.950000000000003,Oceania
23,Australia,2013,29.9,28.3,29.1,Oceania
24,Australia,2014,30.0,28.4,29.2,Oceania
25,Australia,2015,30.1,28.5,29.3,Oceania
26,Australia,2016,30.3,28.7,29.5,Oceania
27,Australia,2017,30.4,28.8,29.6,Oceania
28,Austria,1990,27.7,25.2,26.45,Europe
29,Austria,1991,27.9,25.4,26.65,Europe
30,Austria,1992,28.0,25.6,26.8,Europe
31,Austria,1993,28.4,25.8,27.1,Europe
32,Austria,1994,28.7,26.1,27.4,Europe
33,Austria,1995,29.0,26.3,27.65,Europe
34,Austria,1996,29.1,26.5,27.8,Europe
35,Austria,1997,29.3,26.8,28.05,Europe
36,Austria,1998,29.6,26.9,28.25,Europe
37,Austria,1999,29.9,27.3,28.6,Europe
38,Austria,2000,30.0,27.4,28.7,Europe
39,Austria,2001,30.2,27.5,28.85,Europe
40,Austria,2002,30.3,27.7,29.0,Europe
41,Austria,2003,30.6,27.9,29.25,Europe
42,Austria,2004,30.9,28.2,29.549999999999997,Europe
43,Austria,2005,31.2,28.6,29.9,Europe
