,Country,Gender,Year,mean_age,Continent
0,Australia,Male,1990,26.5,Oceania
1,Australia,Male,1991,26.7,Oceania
2,Australia,Male,1992,26.9,Oceania
3,Australia,Male,1993,27.0,Oceania
4,Australia,Male,1994,27.2,Oceania
5,Australia,Male,1995,27.3,Oceania
6,Australia,Male,1996,27.6,Oceania
7,Australia,Male,1997,27.8,Oceania
8,Australia,Male,1998,27.9,Oceania
9,Australia,Male,1999,28.2,Oceania
10,Australia,Male,2000,28.5,Oceania
11,Australia,Male,2001,28.7,Oceania
12,Australia,Male,2002,29.0,Oceania
13,Australia,Male,2003,29.2,Oceania
14,Australia,Male,2004,29.4,Oceania
15,Australia,Male,2005,29.5,Oceania
16,Australia,Male,2006,29.6,Oceania
17,Australia,Male,2007,29.6,Oceania
18,Australia,Male,2008,29.6,Oceania
19,Australia,Male,2009,29.6,Oceania
20,Australia,Male,2010,29.6,Oceania
21,Australia,Male,2011,29.7,Oceania
22,Australia,Male,2012,29.8,Oceania
23,Australia,Male,2013,29.9,Oceania
24,Australia,Male,2014,30.0,Oceania
25,Australia,Male,2015,30.1,Oceania
26,Australia,Male,2016,30.3,Oceania
27,Australia,Male,2017,30.4,Oceania
28,Australia,Female,1990,24.3,Oceania
29,Australia,Female,1991,24.5,Oceania
30,Australia,Female,1992,24.7,Oceania
31,Australia,Female,1993,24.8,Oceania
32,Australia,Female,1994,25.1,Oceania
33,Australia,Female,1995,25.3,Oceania
34,Australia,Female,1996,25.7,Oceania
35,Australia,Female,1997,25.9,Oceania
36,Australia,Female,1998,26.2,Oceania
37,Australia,Female,1999,26.4,Oceania
38,Australia,Female,2000,26.7,Oceania
39,Australia,Female,2001,26.9,Oceania
40,Australia,Female,2002,27.1,Oceania
41,Australia,Female,2003,27.3,Oceania
42,Australia,Female,2004,27.5,Oceania
43,Australia,Female,2005,27.6,Oceania
44,Australia,Female,2006,27.6,Oceania
45,Australia,Female,2007,27.6,Oceania
46,Australia,Female,2008,27.7,Oceania
47,Australia,Female,2009,27.7,Oceania
