,Country,Year,marriage_rate,Continent
0,Australia,1970,9.2798,Oceania
1,Australia,1980,7.4,Oceania
2,Australia,1981,7.6,Oceania
3,Australia,1982,7.7,Oceania
4,Australia,1983,7.5,Oceania
5,Australia,1984,7.0,Oceania
6,Australia,1985,7.3,Oceania
7,Australia,1986,7.2,Oceania
8,Australia,1987,7.0,Oceania
9,Australia,1988,7.1,Oceania
10,Australia,1989,7.0,Oceania
11,Australia,1990,6.9,Oceania
12,Australia,1991,6.6,Oceania
13,Australia,1992,6.6,Oceania
14,Australia,1993,6.411,Oceania
15,Australia,1994,6.2,Oceania
16,Australia,1995,6.1,Oceania
17,Australia,1996,5.8,Oceania
18,Australia,1997,5.8,Oceania
19,Australia,1998,5.9,Oceania
20,Australia,1999,6.0,Oceania
21,Australia,2000,5.9,Oceania
22,Australia,2001,5.3,Oceania
23,Australia,2002,5.4,Oceania
24,Australia,2003,5.348,Oceania
25,Australia,2004,5.5,Oceania
26,Australia,2005,5.4,Oceania
27,Australia,2006,5.5,Oceania
28,Australia,2007,5.5,Oceania
29,Australia,2008,5.5,Oceania
30,Australia,2009,5.5,Oceania
31,Australia,2010,5.4,Oceania
32,Australia,2011,5.4,Oceania
33,Australia,2012,5.4,Oceania
34,Australia,2013,5.1,Oceania
35,Australia,2014,5.2,Oceania
36,Australia,2015,4.8,Oceania
37,Australia,2016,4.9,Oceania
38,Australia,2017,4.59182518201094,Oceania
39,Austria,1960,8.3,Europe
40,Austria,1961,8.5,Europe
41,Austria,1962,8.4,Europe
42,Austria,1963,8.1,Europe
43,Austria,1964,8.0,Europe
44,Austria,1965,7.8,Europe
45,Austria,1966,7.6,Europe
46,Austria,1967,7.6,Europe
47,Austria,1968,7.6,Europe
48,Austria,1969,7.3,Europe
49,Austria,1970,7.1,Europe
50,Austria,1971,6.4,Europe
51,Austria,1972,7.6,Europe
52,Austria,1973,6.5,Europe
53,Austria,1974,6.5,Europe
54,Austria,1975,6.1,Europe
55,Austria,1976,6.0,Europe
56,Austria,1977,6.0,Europe
57,Austria,1978,5.9,Europe
58,Austria,1979,6.0,Europe
59,Austria,1980,6.2,Europe
60,Austria,1981,6.3,Europe
61,Austria,1982,6.3,Europe
62,Austria,1983,7.4,Europe
63,Austria,1984,6.1,Europe
64,Austria,1985,5.9,Europe
65,Austria,1986,6.1,Europe
66,Austria,1987,10.1,Europe
67,Austria,1988,4.7,Europe
68,Austria,1989,5.6,Europe
69,Austria,1990,5.9,Europe
70,Austria,1991,5.7,Europe
71,Austria,1992,5.8,Europe
72,Austria,1993,5.7,Europe
73,Austria,1994,5.5,Europe
74,Austria,1995,5.4,Europe
75,Austria,1996,5.3,Europe
76,Austria,1997,5.2,Europe
77,Austria,1998,4.9,Europe
78,Austria,1999,4.9,Europe
79,Austria,2000,4.9,Europe
80,Austria,2001,4.3,Europe
81,Austria,2002,4.5,Europe
82,Austria,2003,4.6,Europe
83,Austria,2004,4.7,Europe
84,Austria,2005,4.8,Europe
85,Austria,2006,4.5,Europe
86,Austria,2007,4.3,Europe
87,Austria,2008,4.2,Europe
88,Austria,2009,4.3,Europe
89,Austria,2010,4.5,Europe
90,Austria,2011,4.3,Europe
91,Austria,2012,4.6,Europe
92,Austria,2013,4.3,Europe
93,Austria,2014,4.4,Europe
94,Austria,2015,5.1,Europe
95,Austria,2016,5.1,Europe
96,Austria,2017,5.1,Europe
97,Belgium,1960,7.1,Europe
98,Belgium,1961,6.8,Europe
99,Belgium,1962,6.7,Europe
100,Belgium,1963,6.7,Europe
101,Belgium,1964,6.9,Europe
102,Belgium,1965,7.0,Europe
103,Belgium,1966,7.2,Europe
104,Belgium,1967,7.1,Europe
105,Belgium,1968,7.2,Europe
106,Belgium,1969,7.5,Europe
107,Belgium,1970,7.6,Europe
108,Belgium,1971,7.6,Europe
109,Belgium,1972,7.7,Europe
110,Belgium,1973,7.6,Europe
111,Belgium,1974,7.5,Europe
112,Belgium,1975,7.3,Europe
113,Belgium,1976,7.2,Europe
114,Belgium,1977,7.0,Europe
115,Belgium,1978,6.8,Europe
116,Belgium,1979,6.6,Europe
117,Belgium,1980,6.7,Europe
118,Belgium,1981,6.5,Europe
119,Belgium,1982,6.3,Europe
120,Belgium,1983,6.1,Europe
121,Belgium,1984,6.0,Europe
122,Belgium,1985,5.8,Europe
123,Belgium,1986,5.8,Europe
124,Belgium,1987,5.7,Europe
125,Belgium,1988,6.0,Europe
126,Belgium,1989,6.4,Europe
127,Belgium,1990,6.5,Europe
128,Belgium,1991,6.1,Europe
129,Belgium,1992,5.8,Europe
130,Belgium,1993,5.4,Europe
131,Belgium,1994,5.1,Europe
132,Belgium,1995,5.1,Europe
133,Belgium,1996,5.0,Europe
134,Belgium,1997,4.7,Europe
135,Belgium,1998,4.4,Europe
136,Belgium,1999,4.3,Europe
